dev,dev_response,dev_response_datetime,id,isedited,rating,review,review_datetime,title,username
"{'id': 11122362, 'body': ""Hey Sarah,\n\nMeans so much to us that you got this far and are going beyond 10 reviews. Every one of those reviews helps make it easier for other people to discover and choose vegan options and it makes a huge impact for our animal welfare partners that work tirelessly but are mostly all scraping by on small donations. We're working hard to change the face of social media and connect it with social purpose and it's because of amazing members in the community like you that we have a chance to make an impact. Thank you for being part of this.\n\nAll the best,\nVikas (follow me on the app, I'm @vikas)"", 'modified': '2020-01-14T19:10:13Z'}","Hey Sarah,

Means so much to us that you got this far and are going beyond 10 reviews. Every one of those reviews helps make it easier for other people to discover and choose vegan options and it makes a huge impact for our animal welfare partners that work tirelessly but are mostly all scraping by on small donations. We're working hard to change the face of social media and connect it with social purpose and it's because of amazing members in the community like you that we have a chance to make an impact. Thank you for being part of this.

All the best,
Vikas (follow me on the app, I'm @vikas)",2020-01-14 19:10:13,11122362.0,True,5,"I found this from an instagram ad and decided to try it out. I was playing around with it and reviewing some products/dishes that I had saved in my phone, and 10 reviews later, I “unlocked” a $10 donation to a sanctuary of my choice! I was SO surprised and instantly started loving this app even more. Check out their website: 1 review = $1 donated. Write 10 reviews and donate $10. This is not money out of your own pocket, it’s directly from abillionveg. I will continue writing reviews so I can unlock more donations. LOVE their mission of bringing the veggie community together while also supporting rescue sanctuaries and orgs. I’d give them 100 stars if possible.

Update: I wish there was some type of “search” bar on your own profile so you can easily find one of your past reviews to update it. Your profile list can get pretty long once you review dozens of products/dishes. Also, they will make you remove your review of a product that is not 100% plant based (I don’t agree with this... if something is meat-free but not vegan I would like to see reviews so I can know to NOT buy that product. A bunch of people commented on my post saying they had no idea the product wasn’t vegan so I think the info is helpful). I’m keeping it at 5 stars though because I love their mission.",2020-01-14 19:10:13,Reviews = donations to sanctuaries!!!,Sarahhhhhhho
"{'id': 24846835, 'body': 'TurdsInRocks, thank you so much for your warm words. We are excited to see that the app made an impact for you and even made vegan easy in your city. Keep on the good work and share with the community your vegan finds! 🌱', 'modified': '2021-09-01T10:23:23Z'}","TurdsInRocks, thank you so much for your warm words. We are excited to see that the app made an impact for you and even made vegan easy in your city. Keep on the good work and share with the community your vegan finds! 🌱",2021-09-01 10:23:23,24846835.0,False,5,"Reviewing is actually a hobby of mine, and knowing $1 per review goes towards my choice of so many good causes makes reviewing a lot more fun and meaningful! I’ve discovered so many new products and even restaurants from abillion (wasn’t expecting to find too many in my city, but I did.) Going vegan is the best and easiest thing you can do to make a difference in animal lives, and thanks to this app, reviewing those foods and products is another fun/easy way to make a huge contribution. (I’ve put in $160 worth of reviews easily, I’ve seen some people that have thousands)
The community on there is great, everybody is so kind. I don’t use social media so it’s nice to be apart of such a positive online space with other like minded folk.
I never, ever review apps, but this one deserves it.",2021-08-22 03:35:01,"My favorite “social” app, game changer for veganism",TurdsInRocks
"{'id': 9967833, 'body': 'Hi Olivia,\n\nMy name\'s Vikas and I started the company. Firstly, I just want to give you a big thanks from me and everyone on the team for your feedback. It means a lot to us.\n\nThere is so much work that\'s being done on improving location based searches. In the next couple of app releases you\'re going to see the product of that work.\n\nRegarding not showing options you know exist or options that are obscure, we took the view of building an authentic community from scratch, which means we display things our members have added rather than trying to find a bunch of information from other online sources and aggregating them. We think that potentially means slower growth but a more unique, curated and relevant experience once it\'s all baked. We\'ve got 40k reviews in 90 countries, for some places we have amazing density, and while we have the most reviews in the US, its such a big country and there are some huge holes!\n\nYou can definitely add restaurants that don\'t appear in our database. We have a button when you search for a restaurant location that is ""see more listings"". For example, if you search for Panera Bread Phoenix you should see all the options. Same thing if you start off by hitting the review button and then locating a business to review an option at.\n\nThere is also a backdoor to adding listings in the map. All you have to do is find the restaurant on the search bar results, then head to the restaurant page and click on ""tell us more about this place"". By just filling in the veg-friendly rating that business will then appear if you rate it friendly or higher.\n\nThere are at least 100 user experience problems we are working on solutions for. We need amazing people like you to help us fill this out and make an impact for the next 20 people from Phoenix that try the app. I hope you\'ll consider contributing to build this community of change-makers.\n\nWishing you all the best. If you ever want to chat directly my email is vikas@abillionveg.com\n\nThanks,\nVikas\n', 'modified': '2019-08-02T03:38:59Z'}","Hi Olivia,

My name's Vikas and I started the company. Firstly, I just want to give you a big thanks from me and everyone on the team for your feedback. It means a lot to us.

There is so much work that's being done on improving location based searches. In the next couple of app releases you're going to see the product of that work.

Regarding not showing options you know exist or options that are obscure, we took the view of building an authentic community from scratch, which means we display things our members have added rather than trying to find a bunch of information from other online sources and aggregating them. We think that potentially means slower growth but a more unique, curated and relevant experience once it's all baked. We've got 40k reviews in 90 countries, for some places we have amazing density, and while we have the most reviews in the US, its such a big country and there are some huge holes!

You can definitely add restaurants that don't appear in our database. We have a button when you search for a restaurant location that is ""see more listings"". For example, if you search for Panera Bread Phoenix you should see all the options. Same thing if you start off by hitting the review button and then locating a business to review an option at.

There is also a backdoor to adding listings in the map. All you have to do is find the restaurant on the search bar results, then head to the restaurant page and click on ""tell us more about this place"". By just filling in the veg-friendly rating that business will then appear if you rate it friendly or higher.

There are at least 100 user experience problems we are working on solutions for. We need amazing people like you to help us fill this out and make an impact for the next 20 people from Phoenix that try the app. I hope you'll consider contributing to build this community of change-makers.

Wishing you all the best. If you ever want to chat directly my email is vikas@abillionveg.com

Thanks,
Vikas
",2019-08-02 03:38:59,9967833.0,False,2,"I know this is a new app and I am no stranger to website/program/app development, so I know it will get better with customer feedback.
I love the idea of this app! Find fellow vegans, spread the knowledge of great vegan eats to virtually anyone, and find hidden vegan gems in an unfamiliar setting. AND donating to animal welfare organizations! How could any vegan not love this app?
With that being said, I agree with the 1-star review that is populated in the App Store. I live in Phoenix Arizona and there are SO many places to get amazing vegan food around the valley, yet only a few places show up in my area on the app. Not to mention they might be the most obscure vegan eats in PHX. 
I’d like to help this app grow however, I cannot add restaurants to the list, and if I can’t add more restaurants, I can’t share my reviews. I can’t even select a preexisting restaurant when I look on the map screen in this app — I can see it, but I can’t add a review or even to the list of restaurants that offers vegan food. 
ABV — PLEASE MAKE THIS MORE USER FRIENDLY TO THOSE WHO WANT TO HELP YOU. WE LOVE THE IDEA AND WANT TO SEE YOU SUCCEED! This could be BIG for vegans and the ever-growing community. Thank you.",2019-07-12 14:38:32,Love the idea...needs better execution,OliviaArden
"{'id': 9968118, 'body': ""Hey Kerry,\n\nThanks so much for the feedback. Means a lot to us and really helps us improve. We've chosen to focus on delivering an authentic community led experience and part of that is getting reviews in places like Phoenix from new members like you. The reason you don't see any options is because people haven't reviewed anything yet, and the reason for one meal is because most restaurants have 1-2 vegan dishes if we're lucky, so we wanted to create an experience that highlighted the best vegan options instead of just looking at restaurants.\n\nGreat point about the chains. It's something we're working on, so dishes at national chains show up everywhere. \n\nI hope you'll give it a shot again and if not, thank you for the helpful review.\n\nVikas"", 'modified': '2019-08-02T04:07:39Z'}","Hey Kerry,

Thanks so much for the feedback. Means a lot to us and really helps us improve. We've chosen to focus on delivering an authentic community led experience and part of that is getting reviews in places like Phoenix from new members like you. The reason you don't see any options is because people haven't reviewed anything yet, and the reason for one meal is because most restaurants have 1-2 vegan dishes if we're lucky, so we wanted to create an experience that highlighted the best vegan options instead of just looking at restaurants.

Great point about the chains. It's something we're working on, so dishes at national chains show up everywhere. 

I hope you'll give it a shot again and if not, thank you for the helpful review.

Vikas",2019-08-02 04:07:39,9968118.0,False,1,"I never review apps because they are never disappointing enough to do so. Let me tell you the app is well laid out and might work for people who live in major major major cities like New York where lots of people are likely to add to this app. I live in Phoenix Arizona (should be a big enough city, right?? Wrong!) and the app was telling me my best closest option for dinner was an Italian restaurant in Georgia. It said I have nothing close to me...yet I know of at least ten big chain restaurants within 3 miles that have decent options. This app only works by someone reviewing ONE meal at ONE single location. It doesn’t upload restaurant menus or anything like that. If someone reviews Mod Pizza in North Carolina (idk if they have Mod Pizza there but stay with me), then, despite this being a big chain restaurant, it WILL NOT show up on my map in Arizona even though we have many Mod Pizzas out here. Also, even if it did show up, the app would only show me what that ONE person ate, not all the other options the restaurant might have. Very disappointing for desperate vegans trying to grab lunch with their meat-eating friends.",2019-07-05 18:41:32,Well this is dumb...,kerryllynne
,,,,False,5,"I started using this app about a week ago and I love the idea of it! I just donated my first $10 to an animal farm sanctuary in my home state and I’m very glad I get to do so with this app. I love everything about it and every feature, it’s just that my app keeps crashing and completely closing at least once every single time I try to write a review. It usually only happens once and then I can open it again and continue writing a review, but sometimes it does it countless times so I just give up. Maybe it’s just my phone, I’m not sure. Anyway, love all this app does and will definitely be suggesting it to people in the future! :)",2020-10-29 19:02:32,Great app! But some annoying bugs!,livvylovespotatoes
"{'id': 15614893, 'body': ""Hi Anonymouss655,\n\nWe are so glad you like the idea behind the app and very sorry you've been not able to write a review. Our engineers are working hard to fix the issues, but it would really help if you can write to us at contact@abillionveg.com with your concern and we'll look into it personally. \n\nBest,\nabillionveg"", 'modified': '2020-05-28T03:47:51Z'}","Hi Anonymouss655,

We are so glad you like the idea behind the app and very sorry you've been not able to write a review. Our engineers are working hard to fix the issues, but it would really help if you can write to us at contact@abillionveg.com with your concern and we'll look into it personally. 

Best,
abillionveg",2020-05-28 03:47:51,15614893.0,False,4,"I love, love, love the idea but the app has some small issues. It won’t let me actually review something, if just keeps loading. I’ve tried multiple times, and it happens not only when I try to search for a restaurant but also when I try to upload a picture of the food. I’m actually quite talented with technology, so I’m fairly certain it’s a problem on their part. There are also a few other small issues, but they’re trivial. This app has SO much potential! And once more and more people download it and leave reviews it will be amazing! It’s like instagram/yelp for vegan people, and it’s a really great concept. I definitely would recommend it, I would just say that there are a few kinks they need to work out.",2020-05-27 08:09:39,Great Concept-A few issues,Anonymouss655
"{'id': 24617521, 'body': 'Thanks so much for that positive review Esme Herrera. We’re pleased to hear the app is making an impact on you and kudos for already donating $50!! Keep on the good work and share our missions with your friends and family!', 'modified': '2021-08-20T09:06:00Z'}",Thanks so much for that positive review Esme Herrera. We’re pleased to hear the app is making an impact on you and kudos for already donating $50!! Keep on the good work and share our missions with your friends and family!,2021-08-20 09:06:00,24617521.0,False,5,"I love that I can support the vegan movement by donating to organizations and animal sanctuaries. It’s super quick and easy to write the reviews. I also get to search and read reviews about vegan products. I’ve already donated more than $50 with this app in a few days. I’m excited to see what I can do over months. I should’ve used this sooner. 

Plus I love that the selection of sanctuaries and charities encompass many regions so you can choose to make an impact all over the world.",2021-08-16 23:09:58,Love this app,Esme Herrera
"{'id': 10674939, 'body': ""Hi Morgan,\n\nThank you so much for the great feedback. Thanks to insights like this we continue to improve the functionality. Our latest update that went out yesterday includes revisions to make the near-me functionality better. But the reality is that our platform starts with a member submitted review. That's how things are displayed in the map. We wanted to focus on creating an authentic member driven community, so if you don't see something that you know exists, it's only because it hasn't been reviewed yet on the platform. We're working on making improvements to this as well, to make it easier for you to submit suggestions without having to post a review. For now you can do that by searching for a restaurant on the explore tab and then adding the veg friendliness of it on its unique page. Once that's in you'll see that business on the map, except there won't be any reviews or photos. We're hoping you can stick with us as we improve. Thank you.\n\nWishing you all the best,\nVikas"", 'modified': '2019-09-14T04:36:15Z'}","Hi Morgan,

Thank you so much for the great feedback. Thanks to insights like this we continue to improve the functionality. Our latest update that went out yesterday includes revisions to make the near-me functionality better. But the reality is that our platform starts with a member submitted review. That's how things are displayed in the map. We wanted to focus on creating an authentic member driven community, so if you don't see something that you know exists, it's only because it hasn't been reviewed yet on the platform. We're working on making improvements to this as well, to make it easier for you to submit suggestions without having to post a review. For now you can do that by searching for a restaurant on the explore tab and then adding the veg friendliness of it on its unique page. Once that's in you'll see that business on the map, except there won't be any reviews or photos. We're hoping you can stick with us as we improve. Thank you.

Wishing you all the best,
Vikas",2019-09-14 04:36:15,10674939.0,False,2,"This is a great concept and I am excited to see the future for this app. However, there are some improvements I feel need to be made. I live in Portland, OR, onne of the most vegan friendly cities in the US but the area I live on is not as vegan friendly as others. I feel the developers need to focus more on non-vegan restaurants because barely anything is coming up and most people already know of the all-vegan places or can easily find them on HappyCow. Also, there needs to be a filter on the explore page to sort the results by distance from your current location. The “near me” feature just doesn’t work very well and has a very small radius search point. I hope improvements are made soon because like I said, this is a great concept.",2019-09-05 00:55:32,Constructive Feedback,MorganPoptart
"{'id': 9967571, 'body': ""Hi Will,\n\nThanks so much for the positive feedback. It's thanks to amazing members like you that we're able to join forces with a global community of change-makers to build a digital platform for the movement. So happy to hear that its been a great experience.\n\nWishing you all the best,\nVikas"", 'modified': '2019-08-02T03:09:25Z'}","Hi Will,

Thanks so much for the positive feedback. It's thanks to amazing members like you that we're able to join forces with a global community of change-makers to build a digital platform for the movement. So happy to hear that its been a great experience.

Wishing you all the best,
Vikas",2019-08-02 03:09:25,9967571.0,False,5,"I’ve had this app for well over a year now, and I have to say it is just what the vegan community needed.  We finally have an easy-to-use platform to see the best vegan dishes and products at restaurants and stores near us, and around the world. But what truly sets abv apart is that it combines vegan practicality with vegan activism: for every 10 reviews I write, they donate $10 to a vegan non-profit of my choice. I highly recommend this app to anyone who is vegan or vegetarian, likes to eat vegan, or simply cares about animals and our planet.",2019-07-18 02:06:08,Changed my vegan life,willharding__
"{'id': 25288710, 'body': 'Hi jacskl, thank you for your feedback and sorry to hear that you are having such issues. We forwarded it to our engineers and are working to solve your problem. In the meantime please continue updating the app to the latest version and in case you are still facing issues, please send us an email to contact@abillion.com \nHave an awesome day and keep on supporting abillion and our community.', 'modified': '2021-09-24T03:11:10Z'}","Hi jacskl, thank you for your feedback and sorry to hear that you are having such issues. We forwarded it to our engineers and are working to solve your problem. In the meantime please continue updating the app to the latest version and in case you are still facing issues, please send us an email to contact@abillion.com 
Have an awesome day and keep on supporting abillion and our community.",2021-09-24 03:11:10,25288710.0,False,4,"I really love the concept behind this app and wish I’d found it earlier. However, every time I try to open it, it freezes on the loading screen and then crashes. It was working okay a couple of months ago and only crashing occasionally but now I can’t get it to open at all :(
I’ve reinstalled it twice and don’t have this problem with any of the other apps on my phone. Not sure what to do from here. I have so many things I want to upload and review :(",2021-09-21 07:47:13,Continually crashing,jacskl
